,PM10_1
1976,25.0
1977,26.0
1978,28.0
1979,37.0
1980,38.0
1981,38.0
1982,38.0
1983,46.0
1984,47.0
1985,48.0
1986,44.0
1987,43.0
1988,33.0
1989,30.0
1990,30.0
1991,30.0
1992,30.0
1993,29.0
1994,26.0
1995,27.0
1996,32.0
1997,36.0
1998,36.0
1999,40.0
2000,38.0
2001,41.0
2002,41.0
2003,46.0
2004,40.0
2005,45.0
2006,52.0
2007,54.0
2008,49.0
2009,52.0
2010,55.0
2011,56.0
2012,53.0
2013,51.0
2014,45.0
2015,49.0
2016,45.0
2017,45.0
2018,44.0
2019,47.0
2020,43.0
2021,45.0
2022,46.0
2023,48.0
2024,49.0
2025,51.0
2026,60.0
2027,59.0
2028,54.0
2029,53.0
2030,57.0
2031,50.0
2032,53.0
2033,45.0
2034,39.0
2035,39.0
2036,46.0
2037,48.0
2038,39.0
2039,42.0
2040,42.0
2041,36.0
2042,33.0
2043,30.0
2044,25.0
2045,26.0
2046,22.0
2047,23.0
2048,20.0
2049,19.0
2050,21.0
2051,20.0
2052,24.0
2053,21.0
2054,20.0
2055,19.0
2056,24.0
2057,21.0
2058,24.0
2059,28.0
2060,24.0
2061,21.0
2062,20.0
2063,22.0
2064,20.0
2065,16.0
2066,15.0
2067,15.0
2068,13.0
2069,12.0
2070,13.0
2071,13.0
2072,14.0
2073,13.0
2074,13.0
2075,19.0
2076,18.0
2077,19.0
2078,16.0
2079,15.0
2080,15.0
2081,20.0
2082,19.0
2083,16.0
2084,15.0
2085,16.0
2086,19.0
2087,17.0
2088,17.0
2089,20.0
2090,14.0
2091,16.0
2092,17.0
2093,20.0
2094,20.0
2095,23.0
2096,23.0
2097,32.0
2098,33.0
2099,42.0
2100,56.0
2101,50.0
2102,35.0
2103,36.0
2104,42.0
2105,41.0
2106,40.0
2107,41.0
2108,38.0
2109,43.0
2110,39.0
2111,46.0
2112,45.0
2113,43.0
2114,38.0
2115,44.0
2116,41.0
2117,46.0
2118,43.0
2119,46.0
2120,44.0
2121,46.0
