               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,             0.01709,           0.0086485,            0.010878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040052,           0.0071118,           0.0071118
                   2,            0.020894,           0.0089611,            0.011007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011711,            0.010621,            0.010621
                   3,            0.021504,            0.009397,            0.011349,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010689,            0.010689,            0.010689
                   4,            0.021075,           0.0091107,            0.011242,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010689,            0.010689,            0.010689
                   5,             0.02045,           0.0089238,             0.01042,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010635,            0.010635,            0.010635
                   6,            0.019309,           0.0087312,           0.0088868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010582,            0.010582,            0.010582
                   7,            0.018391,           0.0085132,           0.0078173,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010528,            0.010528,            0.010528
                   8,            0.018228,           0.0084582,           0.0065908,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010474,            0.010474,            0.010474
                   9,            0.017865,           0.0082993,           0.0060324,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010421,            0.010421,            0.010421
                  10,            0.017792,           0.0083934,           0.0056328,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010367,            0.010367,            0.010367
